main 2011-11-21 10:45:38,298 INFO App started IN net.sf.xfresh.util.Starter
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,101 DEBUG id: 19 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,101 DEBUG name: Massachusetts Institute of Technology IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,101 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,101 DEBUG city: Slovakia IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,102 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,102 DEBUG id: 20 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,102 DEBUG name: Comenius University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,102 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,103 DEBUG city: Russian Federation IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,103 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,103 DEBUG id: 21 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,103 DEBUG name: Ural State University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,103 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,104 DEBUG city: Taiwan IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,104 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,105 DEBUG id: 22 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,105 DEBUG name: National Taiwan University IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,105 DEBUG rating: 1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,105 DEBUG city: China IN net.sf.xfresh.core.sax.DefaultSaxHandler
1315587180@qtp-1903271789-3 2011-11-21 10:46:49,106 DEBUG class: java.lang.Object@37c9afa1 IN net.sf.xfresh.core.sax.DefaultSaxHandler
